NAME,CATEGORIES,DESCRIPTION,LATITUDE,RATING,LONGITUDE,DESTINATION,GENERAL_LOCATION,ID,split
"""White Eagle Cars"" - London Airport & Seaport Transfers","['Transportation', 'Taxis & Shuttles']","""White Eagle Cars"" London Airport Minicab Transfers - Heathrow Airport / Gatwick Airport / Stansted Airport / Luton Airport / City Airport / Southend on Sea Airport / London Excel / All Day Trips / Any destination in UK and EU / Seaports / Long Distances / Theme Park Trips / Castle Trips / Garden Trips / Seaport Transfers - London Tilbury / Dover / Southampton / Harwich / Portsmouth / Poole / Plymouth",51.506836,5.0,0.180288,London,,10492167,train
Cathedral of St. Hedwig - Domgemeinde St. Hedwig,"['Sights & Landmarks', 'Churches & Cathedrals']",,52.51536,4.0,13.39525,Berlin,,2144937,train
Bam Karaoke Box Recoletos,"['Nightlife', 'Karaoke Bars']",,40.42152,5.0,-3.689031,Madrid,,18941277,train
Lustgarten,"['Nature & Parks', 'Parks', 'Gardens']",,52.51911,4.0,13.400392,Berlin,,8674187,train
Panik Room,"['Fun & Games', 'Room Escape Games', 'Game & Entertainment Centers']","What if you become ghost hunters? Welcome to the panik room, the first paranormal adventure where you have to explore a haunted house as a team. Your mission: to free the house from the curse by investigating the fate of the last inhabitants. Experience a unique sensory adventure where communication and trust are the key to success.",48.864403,5.0,2.340398,Paris,,17464830,train
OBA Library of Amsterdam,"['Traveler Resources', 'Libraries']",,52.375748,4.5,4.908243,Amsterdam,,1499038,train
Houses of Parliament,"['Sights & Landmarks', 'Government Buildings', 'Architectural Buildings', 'Historic Sites']","Most of this iconic building was built in the mid-19th century following a devastating fire in 1834. Westminster Hall survived the fire and dates from 1097. All visits are currently suspended. For the latest updates and online content, please go to the website and sign-up to the e-newsletter.",51.49951,4.5,-0.124787,London,"Parliament Square, SW1A 0AA",211708,train
Port Des Torrent,"['Nature & Parks', 'Outdoor Activities', 'Beaches']",,38.966473,4.0,1.2682,Ibiza,,8179566,train
Fellsfjara,"['Sights & Landmarks', 'Nature & Parks', 'Outdoor Activities', 'Points of Interest & Landmarks', 'Beaches']",,64.04488,5.0,-16.177135,Iceland,,10343447,train
Novelty Automation,"['Museums', 'Specialty Museums']","A mad new collection of home made satyrical arcade machines. Practice Money Laundering; operate a nuclear reactor; meet an alien's mum; give yourself a full frisk, get divorced: and much much more. We've opened Novelty Automation because we ran out of space in our seaside arcade 'The Under The Pier show' - which is Trip Advisor's top rated attraction in Southwold, Suffolk.",51.5198,4.5,-0.1169809999999999,London,"1A Princeton Street, WC1R 4AX",8527239,train
What's On in Reykjavik,"['Traveler Resources', 'Visitor Centers']","What’s On is a Reykjavík tourist information center and magazine, providing professional service and up-to-date information to our readers and customers. We provide information on how to experience Iceland for individuals and groups. The tours we provide represent a cross-section of what is available in Iceland today. We try to always create organic choices for our clients and give the best opportunity for you to make the most of your time in Iceland. We welcome your input in the first instance so that we can help you in the best way. Our location looks to provide you with the history of Iceland as well and not just the natural attractions that you can experience. Although we can book all hotels, tours and attractions, our first priority is to provide excellent customer service and quality tourist Information.",64.14645,4.5,-21.932444,Iceland,,8460822,train
St. George and the Dragon Statue,"['Sights & Landmarks', 'Points of Interest & Landmarks', 'Monuments & Statues']",,52.51656,4.5,13.40519,Berlin,,7262696,train
Chronos One Escape Rooms,"['Fun & Games', 'Room Escape Games']",,51.450447,5.0,0.0572769999999999,London,"3 St. Mary's Place, SE9 1BL",15277154,train
Las Ramblas,"['Sights & Landmarks', 'Other', 'Neighborhoods', 'Historic Walking Areas', 'Points of Interest & Landmarks']","This pedestrian-only street is a rite of passage for first-time travelers in Barcelona. Starting from Plaça de Catalunya, amble along the boulevard where you'll find food kiosks and spot famed attractions like the Gran Teatre del Liceu theater, the Palau de la Virreina Palace, and La Boquería market—the city’s famous marketplace. Entertainment is plenty too thanks to the human statues and caricature artists, amidst other wacky street performers. If you’re not planning to shop, enjoy a jug of sangria at any of the tapas bars and people-watch away. Besides joining city tours, Barcelona’s hop-on hop-off bus is another great way to get here. – Tripadvisor",41.38063,4.0,2.17362,Barcelona,,190163,train
Quiz Room Paris Odeon,"['Fun & Games', 'Game & Entertainment Centers']",,48.8562,5.0,2.339439,Paris,"9 Rue Guenegaud, 75006",17639278,train
Quiz Room Paris La Villette,"['Fun & Games', 'Game & Entertainment Centers']","Entrez dans la Quiz Room pour un quiz riche en émotions dans un décor de plateau de télévision. Dans la Quiz Room, les questions sont accessibles, variées et surprenantes, les stratèges sauront piéger leurs adversaires et les plus rapides pourront tirer leur épingle du jeu ! Laissez-vous tenter par la première expérience de quiz comme à la télé mais avec vos amis.",48.895035,5.0,2.386989,Paris,"30 Av. Corentin Cariou, 75019 Paris, Centre Vill'up, 75019",25170466,train
